Animal #,Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
A44400451,Cat,Manx,Mix,F,Yes,24.0,Adult,Normal,5/28/2020 2:18 PM,Clinic,Spay,,,5/29/2020 5:34 PM,5/29/2020 5:34 PM,Clinic Out,Other,,
A44401233,Dog,German Shepherd,Mix,M,No,,Adult,Normal,5/28/2020 3:05 PM,Stray,Public Drop Off,,,5/28/2020 3:13 PM,5/28/2020 3:13 PM,Return to Owner/Guardian,Stray Reclaim,,
A44405329,Dog,"Retriever, Labrador",Mix,M,Yes,,Adult,Normal,5/28/2020 8:28 AM,Stray,ACO / Police Drop Off,,,5/29/2020 1:25 PM,5/29/2020 1:25 PM,Return to Owner/Guardian,Stray Reclaim,,
A44405329,Dog,"Retriever, Labrador",Mix,M,Yes,,Adult,Normal,6/7/2020 11:35 AM,Stray,ACO / Police Drop Off,,,6/8/2020 11:38 AM,6/8/2020 11:38 AM,Return to Owner/Guardian,Stray Reclaim,,
A44449986,Dog,"Retriever, Labrador",Mix,M,No,11.0,Young,Normal,5/29/2020 3:23 PM,Stray,Public Drop Off,,,6/4/2020 3:59 PM,6/4/2020 3:59 PM,Return to Owner/Guardian,Stray Reclaim,,
A44451145,Cat,Domestic Medium Hair,Mix,M,No,,Adult,Injured,6/4/2020 4:12 PM,Stray,ACO / Police Drop Off,,,6/4/2020 4:24 PM,,Euthanasia,Injury,,
A44472843,Cat,Domestic Shorthair,Mix,M,Yes,192.0,Senior,Normal,6/8/2020 9:43 AM,Owner/Guardian Surrender,For Adoption,Moving,,8/27/2020 5:28 PM,8/27/2020 5:28 PM,Adoption,Adoption Center,,
A44472958,Cat,Domestic Shorthair,Mix,U,No,1.0,Baby,Injured,6/8/2020 1:56 PM,Stray,Public Drop Off,,,6/8/2020 3:48 PM,,Died,Unknown,,
A44486703,Cat,Domestic Shorthair,Mix,U,No,,Adult,Injured,6/9/2020 10:22 AM,Stray,ACO / Police Drop Off,,,6/10/2020 4:21 PM,,Euthanasia,Injury,,
A44490248,Dog,Shepherd,Australian Shepherd,F,Yes,1.0,Baby,Injured,6/10/2020 2:11 PM,Owner/Guardian Surrender,For Adoption,Other,,7/31/2020 2:41 PM,,Died,Ill,,
