Animal #,Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
A38288620,Dog,Pomeranian,Mix,F,Yes,36.0,Adult,Normal,4/12/2018 12:53 PM,Owner/Guardian Surrender,For Adoption,Death of Owner,,5/5/2018 4:25 PM,5/5/2018 4:25 PM,Adoption,Adoption Center,,
A38303239,Dog,"Spaniel, American Cocker",,F,Yes,30.0,Adult,Normal,4/13/2018 8:15 PM,Owner/Guardian Surrender,For Adoption,Other,,5/4/2018 2:24 PM,5/4/2018 2:24 PM,Adoption,Adoption Center,,
A38303244,Dog,American Blue Heeler,Mix,F,Yes,2.0,Baby,Normal,4/13/2018 8:15 PM,Owner/Guardian Surrender,For Adoption,Other,,5/19/2018 2:56 PM,5/19/2018 2:56 PM,Adoption,Adoption Center,,
A38303247,Dog,American Blue Heeler,Mix,F,Yes,2.0,Baby,Normal,4/13/2018 8:15 PM,Owner/Guardian Surrender,For Adoption,Other,,5/5/2018 12:20 PM,5/5/2018 12:20 PM,Adoption,Adoption Center,,
A38303247,Dog,American Blue Heeler,Mix,F,Yes,3.0,Baby,Normal,5/10/2018 12:54 PM,Return,Within Exchange Period,Time - Not Enough,,5/16/2018 3:32 PM,5/16/2018 3:32 PM,Adoption,Adoption Center,,
A38303248,Dog,American Blue Heeler,Mix,F,Yes,2.0,Baby,Normal,4/13/2018 8:15 PM,Owner/Guardian Surrender,For Adoption,Other,,5/12/2018 2:36 PM,5/12/2018 2:36 PM,Adoption,Adoption Center,,
A38303250,Dog,American Blue Heeler,Mix,M,Yes,2.0,Baby,Normal,4/13/2018 8:15 PM,Owner/Guardian Surrender,For Adoption,Other,,6/2/2018 4:15 PM,6/2/2018 4:15 PM,Adoption,Adoption Center,,
A38303252,Dog,American Blue Heeler,Mix,M,Yes,2.0,Baby,Normal,4/13/2018 8:15 PM,Owner/Guardian Surrender,For Adoption,Other,,5/23/2018 6:07 PM,5/23/2018 6:07 PM,Adoption,Adoption Center,,
A38303253,Dog,American Blue Heeler,Mix,M,Yes,2.0,Baby,Normal,4/13/2018 8:15 PM,Owner/Guardian Surrender,For Adoption,Other,,6/2/2018 4:15 PM,6/2/2018 4:15 PM,Adoption,Adoption Center,,
A38357978,Dog,"Coonhound, Treeing Walker",Mix,F,Yes,11.0,Young,Normal,4/20/2018 3:41 PM,Owner/Guardian Surrender,For Adoption,Other,,5/16/2018 4:32 PM,5/16/2018 4:32 PM,Adoption,Adoption Center,,
A38358002,Dog,Retriever,Mix,F,No,6.0,Young,Fearful,4/20/2018 3:41 PM,Owner/Guardian Surrender,For Adoption,Other,,4/23/2018 3:10 PM,4/23/2018 3:10 PM,Transfer Out,For Adoption,For Adoption,Portage County Humane Society
A38358013,Dog,Retriever,Mix,F,No,6.0,Young,Fearful,4/20/2018 3:41 PM,Owner/Guardian Surrender,For Adoption,Other,,4/23/2018 3:10 PM,4/23/2018 3:10 PM,Transfer Out,For Adoption,For Adoption,Portage County Humane Society
A38359612,Dog,Terrier,Mix,F,Yes,2.0,Baby,Normal,4/20/2018 6:32 PM,Owner/Guardian Surrender,For Adoption,Other,,5/18/2018 4:00 PM,5/18/2018 4:00 PM,Adoption,Adoption Center,,
A38359618,Dog,Terrier,Mix,M,Yes,2.0,Baby,Normal,4/20/2018 6:32 PM,Owner/Guardian Surrender,For Adoption,Other,,5/11/2018 2:40 PM,5/11/2018 2:40 PM,Adoption,Adoption Center,,
A38359665,Dog,Terrier,Mix,M,Yes,2.0,Baby,Normal,4/20/2018 6:32 PM,Owner/Guardian Surrender,For Adoption,Other,,4/27/2018 2:58 PM,4/27/2018 2:58 PM,Adoption,Adoption Center,,
A38359667,Dog,Terrier,Mix,M,Yes,2.0,Baby,Normal,4/20/2018 6:32 PM,Owner/Guardian Surrender,For Adoption,Other,,5/2/2018 2:34 PM,5/2/2018 2:34 PM,Adoption,Adoption Center,,
