Animal #,Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
A40643753,Dog,American Blue Heeler,Mix,M,Yes,1.0,Baby,Normal,1/25/2019 2:47 PM,Owner/Guardian Surrender,For Adoption,Other,,3/29/2019 2:58 PM,3/29/2019 2:58 PM,Adoption,Adoption Center,,
A40643761,Dog,American Blue Heeler,Mix,M,Yes,1.0,Baby,Normal,1/25/2019 2:47 PM,Owner/Guardian Surrender,For Adoption,Other,,2/17/2019 12:19 PM,2/17/2019 12:19 PM,Adoption,Adoption Center,,
A40643773,Dog,American Blue Heeler,Mix,F,Yes,1.0,Baby,Normal,1/25/2019 2:47 PM,Owner/Guardian Surrender,For Adoption,Other,,3/8/2019 6:26 PM,3/8/2019 6:26 PM,Adoption,Adoption Center,,
A40643780,Dog,American Blue Heeler,Mix,F,Yes,1.0,Baby,Normal,1/25/2019 2:47 PM,Owner/Guardian Surrender,For Adoption,Other,,3/9/2019 12:53 PM,3/9/2019 12:53 PM,Adoption,Adoption Center,,
A40643784,Dog,American Blue Heeler,Mix,M,Yes,1.0,Baby,Normal,1/25/2019 2:47 PM,Owner/Guardian Surrender,For Adoption,Other,,3/17/2019 11:34 AM,3/17/2019 11:34 AM,Adoption,Adoption Center,,
A40643797,Dog,American Blue Heeler,Mix,F,Yes,1.0,Baby,Normal,1/25/2019 2:47 PM,Owner/Guardian Surrender,For Adoption,Other,,2/17/2019 10:59 AM,2/17/2019 10:59 AM,Adoption,Adoption Center,,
A40652044,Cat,Domestic Shorthair,Mix,M,Yes,11.0,Adult,Sick,1/26/2019 7:19 PM,Stray,ACO / Police Drop Off,,,5/1/2019 5:02 PM,5/1/2019 5:02 PM,Adoption,Adoption Center,,
A40679666,Cat,Siamese,Domestic Shorthair,F,Yes,179.0,Senior,Sick,1/30/2019 10:44 AM,Owner/Guardian Surrender,Euthanasia Owner Request,Health Issues of cat,,2/1/2019 5:02 PM,,Euthanasia,Disease - Chronic,,
A40693526,Cat,Domestic Shorthair,Mix,F,Yes,8.0,Young,Normal,2/1/2019 8:02 PM,Owner/Guardian Surrender,For Adoption,Can't Afford,,2/22/2020 3:36 PM,2/22/2020 3:36 PM,Adoption,Adoption Center,,
A40700286,Dog,Australian Shepherd,Mix,M,Yes,,Adult,Normal,2/3/2019 1:43 PM,Owner/Guardian Surrender,For Adoption,Other,,4/25/2021 12:17 PM,,Euthanasia,Disease - Chronic,,
A40715821,Dog,"Terrier, Rat",Shih Tzu,M,Yes,29.0,Adult,Normal,2/5/2019 4:08 PM,Owner/Guardian Surrender,For Adoption,Other,,2/19/2019 11:04 AM,2/19/2019 11:04 AM,Adoption,Adoption Center,,
A40715832,Dog,"Terrier, Russell",Border Collie,F,Yes,1.0,Baby,Normal,2/5/2019 4:08 PM,Owner/Guardian Surrender,For Adoption,Other,,3/15/2019 6:18 PM,3/15/2019 6:18 PM,Adoption,Adoption Center,,
A40715840,Dog,"Terrier, Russell",Border Collie,M,Yes,1.0,Baby,Normal,2/5/2019 4:08 PM,Owner/Guardian Surrender,For Adoption,Other,,3/25/2019 10:19 AM,3/25/2019 10:19 AM,Adoption,Adoption Center,,
A40715840,Dog,"Terrier, Russell",Border Collie,M,Yes,3.0,Baby,Normal,3/27/2019 2:31 PM,Return,Within Exchange Period,Other,,4/24/2019 3:35 PM,4/24/2019 3:35 PM,Adoption,Adoption Center,,
A40715843,Dog,"Terrier, Russell",Border Collie,M,Yes,1.0,Baby,Normal,2/5/2019 4:08 PM,Owner/Guardian Surrender,For Adoption,Other,,3/14/2019 1:06 PM,3/14/2019 1:06 PM,Adoption,Adoption Center,,
A40715849,Dog,"Terrier, Russell",Border Collie,F,Yes,1.0,Baby,Normal,2/5/2019 4:08 PM,Owner/Guardian Surrender,For Adoption,Other,,3/18/2019 1:22 PM,3/18/2019 1:22 PM,Adoption,Adoption Center,,
A40715856,Dog,"Terrier, Russell",Border Collie,M,Yes,1.0,Baby,Normal,2/5/2019 4:08 PM,Owner/Guardian Surrender,For Adoption,Other,,3/8/2019 5:20 PM,3/8/2019 5:20 PM,Adoption,Adoption Center,,
A40715862,Dog,"Terrier, Russell",Border Collie,F,Yes,1.0,Baby,Normal,2/5/2019 4:08 PM,Owner/Guardian Surrender,For Adoption,Other,,3/9/2019 2:17 PM,3/9/2019 2:17 PM,Adoption,Adoption Center,,
